"","Case","Scen_8_1_a","Scen_15_1_a","Scen_38_1_a","Scen_56_1_a","Scen_79_1_a","Scen_8_3_a","Scen_15_3_a","Scen_38_3_a","Scen_56_3_a","Scen_79_3_a","Scen_8_5_a","Scen_15_5_a","Scen_38_5_a","Scen_56_5_a","Scen_79_5_a","Cases_continuous"
"64","6",0.055,0.111,0.258,0.356,0.48,0,0,0,0.01,0.017,0,0,0,0,0,6
"65","6",0.062,0.103,0.249,0.351,0.466,0,0,0.006,0.004,0.017,0,0,0,0,0,6
"66","6",0.052,0.097,0.256,0.358,0.443,0,0,0,0.003,0.015,0,0,0,0,0,6
"67","6",0.055,0.103,0.262,0.36,0.471,0,0,0.002,0.01,0.008,0,0,0,0,0,6
"68","6",0.046,0.107,0.243,0.34,0.468,0,0,0.001,0.005,0.018,0,0,0,0,0,6
"69","6",0.046,0.105,0.221,0.345,0.438,0,0,0.003,0.007,0.008,0,0,0,0,0.001,6
"70","6",0.063,0.112,0.24,0.347,0.451,0,0,0,0.005,0.014,0,0,0,0,0,6
"71","7",0.068,0.118,0.284,0.392,0.542,0,0.001,0.002,0.008,0.032,0,0,0,0,0.001,7
"72","7",0.076,0.136,0.268,0.418,0.531,0,0,0.002,0.012,0.026,0,0,0,0,0,7
"73","7",0.06,0.118,0.288,0.408,0.545,0,0,0.004,0.01,0.025,0,0,0,0,0,7
"74","7",0.069,0.121,0.284,0.397,0.498,0,0,0.005,0.013,0.018,0,0,0,0,0.001,7
"75","7",0.07,0.133,0.3,0.394,0.522,0,0,0.007,0.016,0.024,0,0,0,0,0,7
"76","7",0.065,0.124,0.273,0.39,0.512,0,0,0.004,0.014,0.02,0,0,0,0,0,7
"77","7",0.066,0.108,0.256,0.397,0.509,0,0,0.002,0.01,0.024,0,0,0,0,0.002,7
"78","7",0.061,0.135,0.278,0.392,0.527,0,0,0.002,0.012,0.013,0,0,0,0,0,7
"79","7",0.069,0.114,0.28,0.418,0.532,0,0,0.002,0.009,0.028,0,0,0,0,0,7
"80","7",0.07,0.133,0.303,0.404,0.525,0,0,0.003,0.012,0.02,0,0,0,0,0,7
"81","8",0.092,0.133,0.328,0.445,0.58,0,0,0.006,0.025,0.028,0,0,0,0,0.002,8
"82","8",0.095,0.15,0.323,0.425,0.588,0,0,0.003,0.016,0.044,0,0,0,0,0.001,8
"83","8",0.071,0.142,0.322,0.451,0.583,0,0,0.008,0.007,0.045,0,0,0,0,0.001,8
"84","8",0.073,0.142,0.327,0.465,0.529,0.001,0,0.003,0.017,0.037,0,0,0,0,0,8
"85","8",0.064,0.142,0.33,0.44,0.563,0,0,0.004,0.016,0.049,0,0,0,0,0.001,8
"86","8",0.08,0.116,0.308,0.451,0.534,0,0.001,0.006,0.016,0.053,0,0,0,0,0.001,8
"87","8",0.08,0.142,0.332,0.425,0.544,0,0.002,0.009,0.013,0.037,0,0,0,0,0.001,8
"88","8",0.08,0.147,0.324,0.428,0.558,0.001,0,0.006,0.012,0.043,0,0,0,0,0,8
"89","8",0.082,0.127,0.306,0.461,0.538,0,0.001,0.004,0.011,0.037,0,0,0,0,0,8
"90","8",0.076,0.138,0.333,0.407,0.568,0,0,0.006,0.014,0.025,0,0,0,0.001,0,8
"91","9",0.085,0.143,0.353,0.491,0.591,0,0.001,0.005,0.029,0.06,0,0,0,0.002,0.001,9
"92","9",0.096,0.156,0.349,0.488,0.641,0,0.001,0.013,0.024,0.043,0,0,0,0,0.002,9
"93","9",0.092,0.139,0.391,0.443,0.612,0,0.001,0.006,0.025,0.037,0,0,0,0,0,9
"94","9",0.098,0.156,0.357,0.478,0.593,0,0,0.007,0.013,0.052,0,0,0,0,0.003,9
"95","9",0.063,0.172,0.347,0.511,0.63,0,0,0.005,0.028,0.05,0,0,0,0.001,0.001,9
"96","9",0.072,0.16,0.376,0.468,0.627,0,0,0.006,0.022,0.059,0,0,0,0.001,0,9
"97","9",0.09,0.171,0.363,0.483,0.58,0,0.001,0.005,0.018,0.064,0,0,0,0,0,9
"98","9",0.097,0.18,0.344,0.481,0.598,0,0.001,0.006,0.018,0.05,0,0,0,0.001,0,9
"99","9",0.075,0.14,0.35,0.477,0.59,0,0.001,0.004,0.022,0.052,0,0,0.001,0,0,9
"100","9",0.078,0.164,0.353,0.484,0.569,0,0.002,0.009,0.026,0.044,0,0,0,0.001,0,9
"101","10",0.112,0.175,0.374,0.492,0.647,0,0,0.014,0.024,0.062,0,0,0,0,0.003,10
"102","10",0.094,0.17,0.4,0.5,0.644,0,0,0.009,0.036,0.068,0,0,0,0,0.001,10
"103","10",0.102,0.196,0.398,0.543,0.64,0,0,0.007,0.037,0.062,0,0,0,0,0,10
"104","10",0.082,0.186,0.362,0.498,0.625,0,0.001,0.007,0.025,0.083,0,0,0,0,0.003,10
